Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2020,5,Maig,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif - Estació,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Dependències - Policia de la Generalitat - Mossos d'Esquadra,Presencial,Delictes,De les lesions,Falta de maltractament d'obra sense lesió,LGTBI-fòbia,1,1
2020,5,Maig,RP Central,ABP Bages,Barcelona,Bages,Manresa,Altres empreses de serveis,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,5,Maig,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Premià de Mar,Dependències - Policia de la Generalitat - Mossos d'Esquadra,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces,"Ètnic, origen nacional i/o racial",1,0
2020,5,Maig,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,Barcelonès,Barcelona,Dependències - Administració estatal,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,0
2020,5,Maig,RP Girona,ABP Selva Interior,Girona,Selva,Resta de municipis ABP Selva Interior,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria,Orientació política,1,2
2020,5,Maig,RP Girona,ABP Baix Empordà - Sant Feliu,Girona,Baix Empordà,Sant Feliu de Guíxols,Dependències - Judicial,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Orientació política,1,0
2020,5,Maig,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Partit polític,Presencial,Infraccions administratives,Llei 4/15 de Protecció de seguretat ciutadana,Danys / deslluïments de béns mobles / immobles,Orientació política,1,1
2020,5,Maig,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,5,Maig,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Transport públic - Renfe - Adif -Comboi,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,5,Maig,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria (lleu),LGTBI-fòbia,1,1
2020,5,Maig,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,5,Maig,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Via pública urbana,Presencial,Delictes,De les lesions,Lesions,LGTBI-fòbia,1,1
2020,5,Maig,RP Metropolitana Sud,ABP Gavà,Barcelona,Baix Llobregat,Viladecans,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,5,Maig,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,Baix Llobregat,Resta de municipis ABP Sant Feliu de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Lesions,"Ètnic, origen nacional i/o racial",1,3
2020,5,Maig,RP Central,ABP Anoia,Barcelona,Anoia,Igualada,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,5
2020,5,Maig,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Salou,Platja,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,2
2020,5,Maig,RP Central,ABP Anoia,Barcelona,Anoia,Igualada,Habitatge - Escala/portal finca/replà,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,6,Juny,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
